user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
theyresogays,Boo Bear,1121201188253392896,2019-04-24 23:56:08,/theyresogays/status/1121201188253392896,3,1,2,"Puedes votar tantas veces como quieras hasta que llegues al limite permitido por día, puedes votar todos los días con el mismo correo cuantas veces quieras, cuando llegues al limite te aparece algo como la imagen

#BBMAsTopSocial Louis Tomlinson
@Louis_Tomlinsonpic.twitter.com/JBr7AOJS1o","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Puedes <strong>votar</strong> tantas veces como quieras hasta que llegues al limite permitido por día, puedes <strong>votar</strong> todos los días con el mismo correo cuantas veces quieras, cuando llegues al limite te aparece algo como la imagen

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BBMAsTopSocial?src=hash""><s>#</s><b>BBMAsTopSocial</b></a> Louis Tomlinson
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""84279963"" dir=""ltr"" href=""/Louis_Tomlinson""><s>@</s><b>Louis_Tomlinson</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/JBr7AOJS1o"">pic.twitter.com/JBr7AOJS1o</a></p>"
253730,Sil Paiva,1121201188010123265,2019-04-24 23:56:08,/253730/status/1121201188010123265,0,0,1,Governo Bolsonaro oferece R$ 40 milhões a cada deputado para comprar voto pró-reforma | Revista Fórum https://www.revistaforum.com.br/governo-bolsonaro-oferece-r-40-milhoes-a-cada-deputado-para-comprar-voto-pro-reforma/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Governo Bolsonaro oferece R$ 40 milhões a cada deputado para comprar <strong>voto</strong> pró-reforma | Revista Fórum <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.revistaforum.com.br/governo-bolsonaro-oferece-r-40-milhoes-a-cada-deputado-para-comprar-voto-pro-reforma/"" dir=""ltr"" href=""https://t.co/596K8VvmMP"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.revistaforum.com.br/governo-bolsonaro-oferece-r-40-milhoes-a-cada-deputado-para-comprar-voto-pro-reforma/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">revistaforum.com.br/governo-bolson</span><span class=""invisible"">aro-oferece-r-40-milhoes-a-cada-deputado-para-comprar-voto-pro-reforma/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
Pablo_Z21,Pablo¹²,1121201182012313601,2019-04-24 23:56:07,/Pablo_Z21/status/1121201182012313601,0,0,0,se acuerdan cuando en españa lo trataban a di zeo como si fuera el mismísimo osama bin laden,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">se acuerdan cuando en <strong>españa</strong> lo trataban a di zeo como si fuera el mismísimo osama bin laden</p>"
santiagogalveni,santi,1121201179214499841,2019-04-24 23:56:06,/santiagogalveni/status/1121201179214499841,0,1,0,"tenes razón igual una desconfianza votar a un peronista quizás prefiero ver q otra alternativa hay si es que la hay, no estoy al tanto de quienes son candidatos para este año o los candidatos favoritos","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">tenes razón igual una desconfianza <strong>votar</strong> a un peronista quizás prefiero ver q otra alternativa hay si es que la hay, no estoy al tanto de quienes son candidatos para este año o los candidatos favoritos</p>"
Michell70099741,MichelleMartinez,1121201177612443648,2019-04-24 23:56:06,/Michell70099741/status/1121201177612443648,0,0,0,"Voto por #Perfecta de @BANDARECODITOSS en el #TopGrupero de @TuCasaTvOficial @lazperingrid @rafabalderrama @LoquillasDeO
","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Voto</strong> por <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Perfecta?src=hash""><s>#</s><b>Perfecta</b></a> de <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""222291714"" dir=""ltr"" href=""/BANDARECODITOSS""><s>@</s><b>BANDARECODITOSS</b></a> en el <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TopGrupero?src=hash""><s>#</s><b>TopGrupero</b></a> de <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519666092"" dir=""ltr"" href=""/TuCasaTvOficial""><s>@</s><b>TuCasaTvOficial</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""201796779"" dir=""ltr"" href=""/lazperingrid""><s>@</s><b>lazperingrid</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""183834585"" dir=""ltr"" href=""/rafabalderrama""><s>@</s><b>rafabalderrama</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1109634841127997440"" dir=""ltr"" href=""/LoquillasDeO""><s>@</s><b>LoquillasDeO</b></a>
<img alt=""🎶"" aria-label=""Emoji: Varias notas musicales"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f3b6.png"" title=""Varias notas musicales""/><img alt=""👌"" aria-label=""Emoji: Signo ok con la mano "" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f44c.png"" title=""Signo ok con la mano ""/><img alt=""😍"" aria-label=""Emoji: Cara sonriente con ojos en forma de corazón"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60d.png"" title=""Cara sonriente con ojos en forma de corazón""/><img alt=""💕"" aria-label=""Emoji: Dos corazones"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f495.png"" title=""Dos corazones""/></p>"
taegi_bebes,Lis 💜 ~Boy With Luv~,1121201177092399105,2019-04-24 23:56:06,/taegi_bebes/status/1121201177092399105,1,0,1,"Aprovecho y dejo un voto por si no me vuelvo a conectar 

#BBMAsTopSocial BTS @BTS_twt","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Aprovecho y dejo un <strong>voto</strong> por si no me vuelvo a conectar 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BBMAsTopSocial?src=hash""><s>#</s><b>BBMAsTopSocial</b></a> BTS <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""335141638"" dir=""ltr"" href=""/BTS_twt""><s>@</s><b>BTS_twt</b></a></p>"
ignacio_mcm,Ignacio,1121201176538750977,2019-04-24 23:56:06,/ignacio_mcm/status/1121201176538750977,2,0,0,A quien votar en las elecciones no lo sé todavía. Lo que si sé es a quién NO votar. ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">A quien <strong>votar</strong> en las elecciones no lo sé todavía. Lo que si sé es a quién NO <strong>votar</strong>. <img alt=""🤯"" aria-label=""Emoji: Cabeza que explota"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f92f.png"" title=""Cabeza que explota""/></p>"
Blablaiban,Ojea,1121201176219979776,2019-04-24 23:56:05,/Blablaiban/status/1121201176219979776,4,1,0,"A mí me gustaría que Cayetana ganara su escaño pero, por lo demás, la pregunta es qué va a quedar de España. No se preocupe por el PP.
Saludos","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">A mí me gustaría que Cayetana ganara su escaño pero, por lo demás, la pregunta es qué va a quedar de <strong>España</strong>. No se preocupe por el PP.
Saludos</p>"
emisyndrome,d a n n a,1121201175368364033,2019-04-24 23:56:05,/emisyndrome/status/1121201175368364033,0,0,0,"mejor ponte a votar chamaco.
https://m.eonline.com/news/1035316/tv-s-top-couple-2019-vote-in-the-elite-8 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">mejor ponte a <strong>votar</strong> chamaco.
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://m.eonline.com/news/1035316/tv-s-top-couple-2019-vote-in-the-elite-8"" dir=""ltr"" href=""https://t.co/I0TSLBRaNt"" rel=""nofollow noopener"" target=""_blank"" title=""https://m.eonline.com/news/1035316/tv-s-top-couple-2019-vote-in-the-elite-8""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">m.eonline.com/news/1035316/t</span><span class=""invisible"">v-s-top-couple-2019-vote-in-the-elite-8</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
fairykai,dani; reason you,1121201172994564096,2019-04-24 23:56:05,/fairykai/status/1121201172994564096,0,0,0,amanhã eu voto de novo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">amanhã eu <strong>voto</strong> de novo</p>"
